timestamp,gn_rx_createpdpcontextreq_total,gn_rx_deletepdpcontextreq_total,gtp1_pdpctxs_active,fivegs_smffunction_sm_n4sessionreport_total,ues_active,gtp2_sessions_active,s5c_rx_createsession_total,s5c_rx_deletesession_total,gtp_new_node_failed_total,s5c_rx_parse_failed_total,fivegs_smffunction_sm_n4sessionreportsucc_total,fivegs_smffunction_sm_n4sessionestabreq_total,bearers_active,gn_rx_parse_failed_total,gtp_peers_active,"fivegs_smffunction_sm_sessionnbr{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid="""",snssai=""""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationsucc_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_qos_flow_nbr{plmnid=""00101"",snssai=""1"",fiveqi=""9""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:06:04.512000083,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:04.812999964,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:05.114000082,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:05.404000044,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:05.710999966,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:06.013000011,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:06.306999922,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:06.615000010,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:06.915999889,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:07.214999914,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:07.506999969,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:07.813999891,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:08.107000113,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:08.413000107,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:08.707000017,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:09.015000105,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:09.306999922,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:09.618999958,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:09.908999920,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:10.232000113,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:10.516000032,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:10.823999882,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:11.107000113,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:11.437000036,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:11.723000050,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:12.016000032,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:12.316999912,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:12.611999989,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:12.911000013,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:13.214999914,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:13.515000105,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:13.816999912,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:14.119999886,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:14.414000034,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:14.732000113,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:15.019000053,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:15.319000006,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:15.622999907,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:15.913000107,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:16.214999914,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:16.513000011,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:16.835000038,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:17.115000010,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:17.414000034,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:17.717999935,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:18.029999971,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:18.323999882,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:18.634999990,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:18.921000004,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:19.216000080,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:19.510999918,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
